,NO.,ORDER DATE,DIRECTOR,SITE,STATUS,MAIN DES,COMTOR,DUR(h),TRANS DUR(h),DELIVER BEFORE(h),CONFIRM TIME (h),DEADLINE,WORK DATE,DESIGN IMPORTANT,START WORK,END WORK,FIX DUR,"BREAK/
CONFIRM","WORK
DURATION",LAG,DES NOTES,DES1,DUR1,DES2,DUR2,DES3,DUR3,DES4,DUR4,
1,v1603-0076,3/2/2016,Ariyoshi,p-sharakukan.com/,mail:done,TrucTTT,NguyenLDH,3,0.5,,,03/03/2016,03/03/2016,,10:00,14:00,,1:00,3,0,,TrucTTT,3,,,,,,,1
1,v1603-0082,3/3/2016,Ariyoshi,power-package.jp/,mail:done,TramNTH,NguyenLDH,2,0.5,,,03/03/2016,03/03/2016,,8:30,10:00,,,1.5,-0.5,,TramNTH,2,,,,,,,1
1,v1603-0083,3/3/2016,Ariyoshi,ecolifekyushu.com/,mail:done,NhaNTT,NguyenLDH,3,0.5,,,03/03/2016,03/03/2016,,13:30,16:30,,,3,0,,NhaNTT,3,,,,,,,1
1,v1603-0084,3/3/2016,Ariyoshi,fineclub.co.jp/test160229/,mail:done,TramNTH,ManDH,2.5,0.5,,,03/03/2016,03/03/2016,,10:00,12:00,,,2,-0.5,,TramNTH,2.5,,,,,,,1
1,v1603-0085,3/3/2016,Ariyoshi,lifetechsystem.com/,mail:done,NgocTT,NguyenLDH,3,0.5,,,03/03/2016,03/03/2016,,9:30,12:00,,,2.5,-0.5,,NgocTT,3,,,,,,,1
1,v1603-0069,3/2/2016,Suzuki,ohashi-inc.com/,mail:done,BinhNT,ManDH,6,1,17:30,,04/03/2016,04/03/2016,,8:30,14:00,,1:00,4.5,-1.5,68 69 l? 1 oreder,BinhNT,6,,,,,,,1
1,v1603-0077,3/3/2016,Kawashima,ikc-shonan.co.jp/,mail:done,TramNTH,ManDH,1,0.5,12:00,,04/03/2016,04/03/2016,,8:30,9:30,,,1,0,,TramNTH,1,,,,,,,1
1,v1603-0078,3/3/2016,Inoue,sanken-mo.co.jp/,mail:done,DiepBNH,ManDH,1.5,0.5,13:00,,04/03/2016,03/03/2016,,11:00,13:30,,1:00,1.5,0,,DiepBNH,1.5,,,,,,,1
1,v1603-0079,3/3/2016,Ishihara,miyaji-dc.smart-change.info/,mail:done,NhaNTT,ManDH,1,0.5,,,04/03/2016,03/03/2016,,16:30,17:30,,,1,0,,NhaNTT,1,,,,,,,1
1,v1603-0080,3/3/2016,Shinozuka,tochio-dc.com/,mail:done,DiepBNH,NguyenLDH,1,0,12:00,,04/03/2016,03/03/2016,,8:30,9:30,,,1,0,,DiepBNH,1,,,,,,,1
1,v1603-0081,3/3/2016,Takeuchi,gakuzo.com/,mail:done,KhangPH,ManDH,2.5,0,13:00,,04/03/2016,03/03/2016,,13:00,15:30,,,2.5,0,,KhangPH,2.5,,,,,,,1
1,v1603-0086,3/3/2016,Takeuchi,land-fab-baikyaku.jp/,mail:done,TramNTH,ManDH,3.5,0,,,04/03/2016,03/03/2016,,13:00,16:00,,,3,-0.5,Tram down:done,TramNTH,3.5,,,,,,,1
1,v1603-0087,3/3/2016,Takeuchi,interior-ks-works.co.jp/,mail:done,TramNTH,ManDH,1.5,0,,,04/03/2016,03/03/2016,,16:00,17:30,,,1.5,0,"Tram down:done
Nh? comtor corfirm tr??c khi giao h?ng.",TramNTH,1.5,,,,,,,1
1,v1603-0088,3/3/2016,Takeuchi,ks-bath-reform.jp/,mail:done,DiepBNH,ManDH,1.5,0,,,04/03/2016,03/03/2016,,9:30,11:00,,,1.5,0,"Nh? comtor corfirm tr??c khi giao h?ng.
http://service.fvn-office.net/fvn/Diepbnh/088/index.html",DiepBNH,1.5,,,,,,,1
1,v1603-0089,3/3/2016,Shinozuka,leaktester.co.jp/,mail:done,ThanhNLY,ManDH,2.5,0,14:00,1,04/03/2016,04/03/2016,,8:30,11:00,,,2.5,0,,ThanhNLY,2.5,,,,,,,1
1,v1603-0090,3/3/2016,Shinozuka,leaktester-navi.jp/,mail:done,NgocTT,ManDH,1,0,14:00,,04/03/2016,04/03/2016,,9:00,10:00,,,1,0,,NgocTT,1,,,,,,,1
1,v1603-0091,3/3/2016,Ishihara,tahara-dental.com/,mail:done,DiepBNH,ManDH,1.5,0.5,,,04/03/2016,03/03/2016,,13:00,14:30,,,1.5,0,,DiepBNH,1.5,,,,,,,1
1,v1603-0092,3/3/2016,Inoue,shimamura-shika.jp/,mail:done,TrucTTT,NguyenLDH,1.5,0.5,12:00,,04/03/2016,04/03/2016,,8:30,10:00,,,1.5,0,,TrucTTT,1.5,,,,,,,1
1,v1603-0093,3/3/2016,Shinozuka,arbre-dc.com/,mail:done,HuyTV,ManDH,0.5,0,13:00,,04/03/2016,03/03/2016,,14:00,14:30,,,0.5,0,,HuyTV,0.5,,,,,,,1
1,v1603-0095,3/3/2016,Tanaka,insyoku-kaigyo.jp/,mail:done,HuyTV,ManDH,1.5,0.5,,,04/03/2016,03/03/2016,,14:30,16:00,,,1.5,0,,HuyTV,1.5,,,,,,,1
1,v1603-0096,3/3/2016,Yoshioka,benz-gelandewagen.jp/,mail:done,KhangPH,ManDH,2.5,0,13:30,,04/03/2016,04/03/2016,,8:30,11:00,,,2.5,0,,KhangPH,2.5,,,,,,,1
1,v1603-0097,3/3/2016,Yoshioka,funae-dc.com/,mail:done,NhaNTT,ManDH,1.5,0,15:00,,04/03/2016,04/03/2016,,8:30,10:00,,,1.5,0,http://service.fvn-office.net/fvn/NhaNTT/1603_0097,NhaNTT,1.5,,,,,,,1
1,v1603-0098,3/3/2016,Takeuchi,chiaretta-fashion.com/,mail:done,VuLDN,ManDH,2.5,0,,,04/03/2016,03/03/2016,,15:00,17:30,,,2.5,0,,VuLDN,2.5,,,,,,,1
1,v1603-0099,3/3/2016,Asano,nagoya-medical-herbschool.com/,mail:done,ThanhNLY,ManDH,5,1,,,04/03/2016,04/03/2016,,11:00,17:00,,1:00,5,0,,ThanhNLY,5,,,,,,,1
1,v1603-0100,3/3/2016,Ariyoshi,tsuchiya-dc.com/,mail:done,BichVTN,ManDH,0.5,0.5,,,04/03/2016,04/03/2016,,9:00,9:30,,,0.5,0,,BichVTN,0.5,,,,,,,1
1,v1603-0101,3/3/2016,Takeuchi,hawaiian-academy.com/,mail:done,BichVTN,ManDH,2,0,,,04/03/2016,03/03/2016,,15:00,17:00,,,2,0,http://service.fvn-office.net/BichVTN/160304_02_bk/,BichVTN,2,,,,,,,1
1,v1603-0103,3/3/2016,Suzuki,fukuoka-vocal.com/,mail:done,LamNTP,ManDH,6,1,,,04/03/2016,04/03/2016,,8:30,15:30,,1:00,6,0,,LamNTP,6,,,,,,,1
1,v1603-0105,3/3/2016,Ariyoshi,ticketking.jp/,mail:done,DucTP,NguyenLDH,6,1,,,04/03/2016,04/03/2016,,8:45,15:30,,1:00,5.75,-0.25,,DucTP,6,,,,,,,1
1,v1603-0106,3/3/2016,Suzuki,englishschool-wing.com/,mail:done,NhaNTT,NguyenLDH,6,1,,,04/03/2016,04/03/2016,,10:00,17:00,,1:00,6,0,http://service.fvn-office.net/fvn/NhaNTT/1603_106/school/ohashi.html,NhaNTT,6,,,,,,,1
1,v1603-0112,3/4/2016,Miyagi,sekine-dc.jp/,mail:done,BichVTN,NguyenLDH,3,0,,,04/03/2016,04/03/2016,,11:00,15:00,,1:00,3,0,,BichVTN,3,,,,,,,1
1,v1603-0102,3/4/2016,Kawashima,gt-dental.jp/,mail:done,NgocTT,ManDH,1.5,0.5,12:00,,07/03/2016,04/03/2016,,14:00,15:30,,,1.5,0,,NgocTT,1.5,,,,,,,1
1,v1603-0104,3/4/2016,Ishihara,moa-clinic.smart-change.info/,mail:done,NgocTT,ManDH,1.5,0.5,,,07/03/2016,07/03/2016,,10:45,13:45,,1:00,2,0.5,,NgocTT,1.5,,,,,,,1
1,v1603-0107,3/4/2016,Kawashima,usui-dental.com/,mail:done,LamNTP,ManDH,1.5,0.5,12:00,2.5,07/03/2016,04/03/2016,,15:30,17:00,,,1.5,0,,LamNTP,1.5,,,,,,,1
1,v1603-0108,3/4/2016,Takeuchi,yamamotosyoukai.com/,mail:done,NgocTT,ManDH,2,0,,,07/03/2016,04/03/2016,,15:30,16:30,,,1,-1,,NgocTT,2,,,,,,,1
1,v1603-0110,3/4/2016,Takeuchi,ouhara-shika.jp/,mail:done,BichVTN,ManDH,1.5,0,,,07/03/2016,04/03/2016,,9:30,11:00,,,1.5,0,,BichVTN,1.5,,,,,,,1
1,v1603-0111,3/4/2016,Inoue,indiba.co.jp/,mail:done,TrucTTT,ManDH,1,0.5,12:00,,07/03/2016,04/03/2016,,10:00,11:00,,,1,0,,TrucTTT,1,,,,,,,1
1,v1603-0113,3/4/2016,Tsukamoto,youmecity-orange.com/test/,mail:done,NhaNTT,ManDH,4,1,,,07/03/2016,07/03/2016,,10:30,15:30,,1:00,4,0,,NhaNTT,4,,,,,,,1
1,v1603-0114,3/4/2016,Kawashima,antena-pro.jp/,mail:done,TrucTTT,NguyenLDH,1,0.5,12:00,,07/03/2016,04/03/2016,,11:00,11:45,,,0.75,-0.25,,TrucTTT,1,,,,,,,1
1,v1603-0115,3/4/2016,Ishihara,love-shika.jp/,mail:done,BinhNT,ManDH,1.5,0.5,,,07/03/2016,07/03/2016,,8:30,10:00,,,1.5,0,,BinhNT,1.5,,,,,,,1
1,v1603-0116,3/4/2016,Miyagi,fos-office.com/,mail:done,TrucTTT,NguyenLDH,2.5,0,14:00,,07/03/2016,04/03/2016,,13:00,15:00,,,2,-0.5,,TrucTTT,2.5,,,,,,,1
