Date,??NO,Project Name,Type,Page number,Std. DUR,Real DUR,Work content,Page name,"Team/
Designer",Status,Start work,End work,Break,Note,,,,,,,,,,,,
,100101077401-01W,???????????????,Plan,10,34,45,set Kijikaku,,1.team Dat,,,,,,,,,,,,,,,,,
14/03/2016,100101077401-01W,???????????????,New,1,6,8,index,,DatNVT,done,08:30,17:30,1:00,,,,,,,,,,,,,
3/15/2016,100101077401-01W,???????????????,New,,2,8,code layout sub page,,DatNVT,done,08:30,17:30,1:00,,,,,,,,,,,,,
12/03/2016,100101077401-01W,???????????????,New,,2,2,code common parts ,,TrucPTT,done,11:00,14:00,1:00,,,,,,,,,,,,,
3/15/2016,100101077401-01W,???????????????,New,,4,3,set Kijikaku,,TrucPTT,done,11:00,15:00,01:00,,,,,,,,,,,,,
3/15/2016,100101077401-01W,???????????????,New,,,0.5,Join page,,DatNVT,done,17:30,18:00,,,,,,,,,,,,,,
3/15/2016,100101077401-01W,???????????????,New,,,2,Check,,DatNVT,done,18:00,20:00,,,,,,,,,,,,,,
3/15/2016,100101077401-01W,???????????????,New,,,1.5,Fix,,TrucPTT,done,16:30,18:00,,,,,,,,,,,,,,
12/03/2016,100101077401-01W,???????????????,New,2,4,3.5,"sub page 2,3","clinic/index.html
, clinic/hygiene.html",TrucPTT,done,14:00,17:30,,,,,,,,,,,,,,
14/03/2016,100101077401-01W,???????????????,New,3,6,6.5,"sub page4,5,7","treatment/general.html
treatment/child.html
treatment/ortho.html",TrucPTT,done,10:00,17:30,01:00,,,,,,,,,,,,,
